id,en,ru,in,vi,pt,el,de,es,cs,it,pl,fr
service_stopped,Service stopped when changing preferences. Go back to the main screen to restart the service automatically.,"Служба остановлена при изменении настроек. Вернитесь на главный экран, чтобы автоматически перезапустить службу.",Service stopped when changing preferences. Go back to the main screen to restart the service automatically.,Dịch vụ dừng lại khi thay đổi sở thích. Quay trở lại màn hình chính để khởi động lại dịch vụ tự động.,Serviço interrompido quando mudar preferências. Volte para a tela principal para reiniciar o serviço automaticamente.,Υπηρεσία σταμάτησε κατά την αλλαγή των προτιμήσεων. Επιστρέψτε στην κύρια οθόνη για να κάνετε επανεκκίνηση της υπηρεσίας αυτόματα.,"Dienst wird beendet, wenn Änderungen vorgenommen werden. Gehen Sie zum Hauptbildschirm zurück, um den Dienst automatisch neu zu starten.",Servicio detuvo al cambiar las preferencias. Volver a la pantalla principal para reiniciar el servicio automáticamente.,Služba byla zastavena při změně předvoleb. Vraťte se na hlavní obrazovku a služba se automaticky restartuje.,Il servizio si è arrestato cambiando le impostazioni. Torna alla schermata principale per riavviare automaticamente il servizio.,"Serwis zatrzymany, gdy zmieniasz ustawienia. Wróć do ekranu głównego, a serwis ponownie się uruchomi",Le service a été arrêté pour pouvoir modifier les paramètres. Retourner à la page principale pour relancer le service.
settings,Settings,Настройки,Pengaturan,Cài đặt,Definições,Ρυθμίσεις,Einstellungen,ajustes,Nastavení,Impostazioni,Ustawienia,Paramètres
setup_desc,Setup watch mac address in settings,Настроить mac-адрес часов в настройках,Setup watch mac address in settings,Cài đặt đồng hồ địa chỉ mac trong cài đặt,Configure endereço MAC relógio nas configurações,Ρύθμιση ρολογιού διεύθυνση mac στις ρυθμίσεις,Uhr MAC-Adresse in den Einstellungen,dirección MAC reloj Configuración de los ajustes,Nastavte mac adresu hodinek v nastavení,Imposta l'indirizzo mac dell'orologio nelle impostazioni,Ustaw MAC adres zegarka w ustawieniach,Définir l'adresse MAC de la montre dans les paramètres
setup_now,Setup Now,Настроить сейчас,Siapkan Sekarang,Cài đặt Bây giờ,Configure Agora,Εγκατάσταση Τώρα,Jetzt einrichten,Configurar ahora,Nastavit nyní,Imposta Adesso,Ustaw teraz,Effectuer le setup maintenant
share,Share,Поделиться,Share,Chia sẻ,Compartilhar,Μερίδιο,Teilen,Compartir,Sdílet,Contividi,Udostępnij,Partager
sleep,Sleep Time,Время сна,Sleep Time,Giờ ngủ,Hora de dormir,Ωρα για υπνο,Ruhe Zeit,Hora de dormir,Čas spánku,Modalità riposo,Pora snu,Plage horaire de sommeil
sp02,Blood Oxygen,Оксигенация,Oksigen Darah,Oxy trong máu,Oxigênio no sangue,Οξυγόνο στο αίμα,Blut-Sauerstoff,oxígeno de la sangre,Kyslík v krvi,Livello ossigeno del sangue,Natlenienie krwi,Oxygène sanguin
start_at_boot,Start at boot,Запуск при загрузке,Mulai saat boot,Khởi chạy lúc khởi động,Executar na inicialização,Έναρξη κατά την εκκίνηση,Start beim Hochfahren,Iniciar en el arranque,Spuštění při startu,Avvia all'accensione,Uruchom przy starcie,Lancer automatiquement l'application au boot
start_measure,Tap to start measurement,"Нажмите, чтобы начать измерение",Ketuk untuk memulai pengukuran,Bấm để bắt đầu đo lường,Toque para iniciar a medição,Πατήστε για να ξεκινήσετε τη μέτρηση,Tippen für Messung starten,Toque para iniciar la medición,Poklepáním spusťte měření,Tocca per avviere la misura,"Dotknij, aby zmierzyć",Appui simple pour démarrer la mesure
start_service,Starting service,Запуск службы,Memulai layanan,Bắt đầu dịch vụ ,serviço começando,Ξεκινήστε την υπηρεσία,Dienst starten,servicio a partir,Spuštění služby,Avviamento servizio,Uruchamianie serwisu,Lancement du service
start_service_at_boot,Enable to automatically start the service after the operating system boots up,Включите автоматический запуск службы после загрузки операционной системы.,Aktifkan untuk memulai layanan secara otomatis setelah sistem operasi melakukan booting,Kích hoạt tính năng tự động bắt đầu dịch vụ sau khi hệ điều hành khởi động lên,Ative para iniciar automaticamente o serviço após o sistema operacional inicializar,Ενεργοποίηση για να ξεκινήσει αυτόματα την υπηρεσία μετά την εκκίνηση του λειτουργικού συστήματος μέχρι,"Aktivieren, um automatisch den Dienst nach dem Betriebssystemstart zu starten",Habilitado para iniciar automáticamente el servicio después de arrancar el sistema operativo hasta,Povolit automatické spuštění služby po spuštění operačního systému,Abilita per avviare automaticamente il servizio al riavvio del sistema,"Włącz, aby automatycznie uruchomić serwis przy starcie systemu",Autoriser le lancement automatique du service au démarrage de l'OS
step_len,Step Length,Длина шага,Panjang langkah,Độ dài bước,Comprimento do passo,Βήμα Μήκος,Schrittlänge,paso Largo,Délka kroku,Lunghezza del passo,Długość kroku,Longueur du pas
steps,steps,шаги,Langkah,Số bước,passos,βήματα,Schritte,pasos,Kroky,passi,kroki,pas
stop_measure,Tap to stop measurement,"Нажмите, чтобы остановить измерение",Ketuk untuk menghentikan pengukuran,Bấm để  dừng đo lường,Toque para finalizar a medição paragem,Πατήστε για μέτρηση στάση,Tippen für Messung stoppen,Toque para la medición de parada,Klepněte pro zastavení měření,Tocca per interrompere la misura,"Dotknij, aby zatrzymać pomiar",Appui simple pour arrêter la mesure
stop_service,Stopping service,Остановка службы,Menghentikan layanan,Dịch vụ đang dừng,serviço de parar,Διακοπή υπηρεσίας,Dienst stoppen,deteniendo servicio,Zastavení služby,Arrestando il servizio,Zatrzymywanie serwisu,Arrêt du service
su,S,Вс,S,S,S,μικρό,S,S,Su,D,N,D
sun,Sun,Вс,Matahari,Chủ nhật,Sol,Ήλιος,So,Dom,Neděle,Dom,Nie,Dim
sync,Synchronize,Синхронизировать,Synchronize,Đồng bộ,Sincronizar,Συγχρονισμός,Synchronisieren,Sincronizar,Synchronizovat,Sincronizza,Synchronizuj,Synchroniser
sync_watch,Syncing watch data,Синхронизация с часами,Syncing watch data,Đồng bộ hoá dữ liệu đồng hồ,Sincronização de dados do relógio,Συγχρονισμός δεδομένων ρολογιού,Synchronisiere Uhr Daten,La sincronización de los datos de vigilancia,Synchronizace dat hodinek,Sincronizzazione in corso,Synchronizuj dane z zegarka,Synchro des données de la montre en cours
target,Target Steps,Целевые шаги,Target Steps,Số bước mục tiêu,Passos alvo,Βήματα στόχος,Zielschritte,Pasos de destino,Cílový počet kroků,Obiettivo passi,Cel dzienny,Objectif de nombre de pas
test,Test,Тест,Test,Kiểm tra,Teste,Δοκιμή,Test,Prueba,Test,Test,Test,Test
test_notification,Notification Test,Тест Уведомлении,Notification Test,Thử gửi thông báo ,Teste de notificação,Έλεγχος ειδοποιήσεων,Test-Benachrichtigung,Prueba de notificación,Oznámení test,Test notifica,Test powiadomień,Test de notification
test_notification_desc,Send a test notification to the watch. Select an icon that will be displayed with the text,"Отправьте тестовое уведомление на часы. Выберите значок, который будет отображаться с текстом",Send a test notification to the watch. Select an icon that will be displayed with the text,Thử gửi thông báo tới đồng hồ. Chọn một biểu tượng sẽ được hiển thị với văn bản,Enviar uma notificação de teste para o relógio. Escolha um ícone que será exibido com o texto,Στείλτε μια ειδοποίηση δοκιμή για το ρολόι. Επιλέξτε ένα εικονίδιο που θα εμφανίζεται με το κείμενο,"Sende eine Test-Benachrichtigung an die Uhr. Wähle ein Symbol, das mit dem Text angezeigt wird.",Enviar una notificación de prueba al reloj. Seleccione un icono que se mostrará con el texto,"Odešlete do hodinek oznámení o testu. Vyberte ikonu, která se zobrazí s textem",Invia una notifica di test all'orologio. Selezione l'icona che verrà visualizzata con il testo,Wyślij testowe powiadomienie na zegarek. Wybierz ikonę do wyświetlenia z tekstem,Envoyer une notification à la montre. Sélectionner une icône à afficher avec le texte
th,T,Чт,T,T,T,Τ,D,T,Th,G,C,J
thur,Thur,Чт,Thur,Thứ 5,Thur,Πέμ,Do,jue,Čtvrtek,Gio,Czw,Jeu
tu,T,Вт,T,T,T,Τ,D,T,Tu,M,W,M
tue,Tue,Вт,Milikmu,Thứ 3,seu,Τρ,Di,tu,Úterý,Mar,Wto,Mar
turn_on_bt,Please turn on Bluetooth,"Пожалуйста, включите Bluetooth",Harap aktifkan Bluetooth,Hãy bật Bluetooth,Por favor ligue o Bluetooth,Παρακαλούμε ενεργοποιήστε το Bluetooth,Bitte schalten Sie Bluetooth ein,"Por favor, active Bluetooth",Prosím zapněte Bluetooth,Per favore avvia il Bluetooth,Proszę włączyć Bluetooth,Allumer le Bluetooth SVP!
unable_load,Unable to load error file,Невозможно загрузить файл ошибок,Unable to load error file,Không thể tải tập tin lỗi,Não foi possível carregar arquivo de erro,Δεν είναι δυνατή η φόρτωση του αρχείου σφαλμάτων,Fehlerdatei kann nicht geladen werden,No se puede cargar el archivo de error,Nelze načíst soubor chyb,Impossibile trovare il file di errore,Nie można załadować pliku,Impossible de charger le fichier d'erreurs
unable_sync,Unable to sync data,Невозможно синхронизировать данные,Unable to sync data,Không thể đồng bộ hóa dữ liệu,Não é possível a sincronização de dados,Δεν μπορεί να γίνει συγχρονισμός,Synchronisieren fehlgeschlagen,Incapaz de datos de sincronización,Nelze synchronizovat data,Impossibile sincronizzare i dati,Nie można zsynchronizować danych,Impossible de synchroniser les données
units,Metric units,Метрические единицы,Satuan metrik,Đơn vị hệ mét,Unidades métricas,Μέτρηση μονάδων,Metrische Einheiten,Unidades metricas,Metrické jednotky,Unità metriche,Jednostki metryczne,Unités métriques
unplugged,Unplugged,Отключен,Dicabut,Đã rút sạc,Desconectado,Αποσυνδεδεμένο,Nicht angeschlossen,Desenchufado,Odpojen,Scollegato,Odłączono,Débranché
user,User,Пользователь,User,Người dùng,Meu perfil,Χρήστης,Benutzer,Usuario,Uživatel,Utente,Użytkownik,Utilisateur
watch_settings,Watch Settings,Настройки часов,Watch Settings,Xem Cài đặt,Definições do relógio,Ρυθμίσεις ρολογιού,Uhr-Einstellungen,Ajustes del reloj,Nastavení hodinek,Impostazioni Orologio,Ustawienia zegarka,Paramètres de la montre
watch_type,Watch type:,Тип часов:,Watch type:,Loại đồng hồ:,Tipo Watch:,Τύπος ρολογιου:,Uhrentyp:,Tipo de reloj:,Typ hodinek:,Tipo Orologio:,Typ zegarka:,Type de la montre:
we,W,Ср,W,W,NO,Τ,M,EN,St,M,Ś,M
wed,Wed,Ср,Mengawinkan,Thứ 4,Casar,Τετ,Mi,Mie,Středa,Mer,Śro,Mer
weight,Weight,Вес,Bobot,Cân nặng,Peso,Βάρος,Gewicht,Peso,Hmotnost,Peso,Waga,Poids
years,years,лет,years,năm,anos,χρονιά,Jahre,años,Let,anni,lat,ans
yes,Yes,Да,Iya,Đúng,sim,Ναί,Ja,si,Ano,Si,Tak,Oui
self_test_ok,Self Test Ok,Самотестирование выполнено,Uji Mandiri OK,Tự kiểm tra OK,Auto teste OK,Ο αυτοέλεγχος πέτυχε,Selbsttest Ok,Ok auto prueba,Autotest OK,Test automatico Ok,Przetestowano OK,Auto test : OK
self_test_fail,Self Test Fail,Самотестирование не выполнено,Uji Mandiri Gagal,Tự kiểm tra không thành công,O autoteste falhou,Ο αυτοέλεγχος απέτυχε,Selbsttest fehlgeschlagen,Auto reprobación de prueba,Selhání autotestu,Test automatico Fallito,Błąd testowania,Auto test : Echec
alarm_once,Once,Один раз,Sekali,Một lần,Uma vez,Μια φορά,Einmal,Una vez,Jednou,Una volta,Jeden raz,Une seule fois
alarm_everyday,Everyday,Каждый день,Everyday,Hằng ngày,Todo dia,Κάθε μέρα,Täglich,Todos los días,Každý den,Ogni giorno,Codziennie,Tous les jours
alarm_mon_fri,Mon - Fri,Пн - Пт,Mon - Fri,Thứ 2 ~ Thứ 6,2a. A 6a,Δευτέρα - Παρασκευή,MO - FR,Lunes - Viernes,Po - Pá,Lun - Ven,Pon-Pt,Lun - Ven
custom_alarm,Custom Alarm,Пользовательский будильник,Alarm khusus,tùy chỉnh Báo thức ,Alarme personalizado,Προσαρμογή συναγερμού,Benutzerdefinierter Alarm,alarma personalizada,Vlastní alarm,Sveglia personalizzata,Ustawienie alarmu,Alarme personnalisée
quiet_active,Quiet Hours Active,Тихие часы активны,Jam Tenang Aktif,Giờ yên tĩnh hoạt động,Horário sem notificações Ativo,Ωρα κοινης ησυχίας Active,Ruhe-Zeit aktiv,Las horas de silencio activo,Ztišení aktivní,Modalità riposo attiva,Aktywne godziny snu,Période Heures calmes activée
custom_watchface,Custom Watchface,Пользовательский циферблат,kustom watchface,tuỳ chỉnh Watchface,watchface personalizado,Προσαρμοσμένη Watchface,Benutzerdefiniertes Ziffernblatt,su esfera personalizada,Uživatelský ciferník,Sfondo personalizzato,Wybrana tarcza zegarka,Ecran de montre personnalisé
upload_image,Uploading Image,Загрузка изображения,upload Gambar,Đang tải lên hình ảnh,Enviando imagem,Μεταφόρτωση εικόνας,Bild Hochladen,subir Image,Nahrávání obrázku,Caricamento immagine,Wysyłanie obrazu,Envoi de l'image
select_image,Select Image,Выберите изображение,Pilih gambar,Chọn ảnh,Selecione a imagem,Επιλέξτε Εικόνα,Bild auswählen,Seleccionar imagen,Zvolit obrázek,Seleziona l'immagine,Wybierz obraz,Sélectionner l'image
image_cropped,Image Cropped,Изображение обрезано,gambar Cropped,hình ảnh cắt,imagem colhida,εικόνα Cropped,Bild zuschneiden,imagen recortada,Obrázek oříznut,Immagine ritagliata,Obraz obcięty,Image rognée
create_upload,Creating upload files,Создаю загружаемые файлы,Membuat file unggahan,Tạo file upload,Criando upload de arquivos,Δημιουργία αρχείων μεταφόρτωσης,Erstellen von Upload-Dateien,La creación de archivos de carga,Vytvářím nahrané soubory,Creazione file per l'upload in corso,Tworzenie plików do wysłania,Création des fichiers pour l'envoi
send_data,Sending Data,Отправляю данные,mengirim data,gửi dữ liệu,envio de dados,Αποστολή στοιχείων,Senden von Daten,Enviando datos,Odesílám data,Invio dati,Wysyłanie danych,Envoi des données
transfer_complete,Transfer complete,Передача завершена,transfer lengkap,chuyển giao hoàn toàn,Transferência Completa,πλήρης μεταφορά,Übertragung vollständig,Transferencia completa,Přenos kompletní,Trasferimento ultimato,Wysyłanie zakończone,Transfert terminé
notify_off,Notify Off,Отключено,Mati,Tắt,Desativado .,Ειδοποίηση εκτός λειτουργίας,Benachrichtigung aus,notificar a Off,Oznámení vypnuto,Notifiche Disattivate,Bez powiadomień,Pas de notification
notify_only,Notify Only,Только уведомление,Beritahu Hanya,Thông báo Chỉ,Apenas notificações,Ειδοποίηση μόνο,Nur Benachrichtigen,Sólo notificar,Pouze oznámení,Solo Notifiche,Tylko powiadomienia,Notification seule
notify_ring,Notify & Ring,Уведомление и звонок,Beritahu & Cincin,Thông báo & Ring,Notificação & Chamada ,Ειδοποίηση & Ηχος,Benachrichtigen und Klingeln,Notificar y Anillo,Upozornit a zazvonit,Notifiche & Suoneria,Powiadamonienia i dzwonek,Notification et sonnerie/vibration
watch_lang,Watch Language,Язык часов,Tonton Bahasa,Xem Ngôn ngữ,Idioma do relógio,Γλώσσα,Uhr-Sprache,reloj idioma,Jazyk hodinek,Lingua dell'Orologio,Język zegarka,Langue sur la montre
upload,Upload Image,Загрузить изображение,Upload Gambar,Tải lên ảnh,Enviar Imagem,Ανεβάστε Εικόνα,Bild hochladen,Cargar imagen,Nahrát obrázek,Carica Immagine,Wyslij obraz,Envoyer l'image
week,Week,Неделя,Minggu,Tuần,Semana,Εβδομάδα,Woche,Semana,Týden,Settimana,Tydzień,Semaine
month,Month,Месяц,Bulan,tháng,Mês,Μήνας,Monat,Mes,Měsíc,Mese,Miesiąc,Mois
january,January,Январь,Januari,tháng Giêng,janeiro,Ιανουάριος,Januar,enero,Leden,Gennaio,Styczeń,Janvier
february,February,Февраль,Februari,tháng 2,fevereiro,Φεβρουάριος,Februar,febrero,Únor,Febbraio,Luty,Février
march,March,Март,Maret,tháng Ba,marcha,Μάρτιος,März,marzo,Březen,Marzo,Marzec,Mars
april,April,Апрель,April,tháng tư,abril,Απρίλιος,April,abril,Duben,Aprile,Kwiecień,Avril
may,May,Май,Mungkin,có thể,Maio,Ενδέχεται,Mai,Mayo,Květen,Maggio,Maj,Mai
june,June,Июнь,Juni,tháng sáu,Junho,Ιούνιος,Juni,junio,Červen,Giugno,Czerwiec,Juin
july,July,Июль,Juli,tháng bảy,Julho,Ιούλιος,Juli,julio,Červenec,Luglio,Lipiec,Juillet
august,August,Август,Agustus,tháng Tám,agosto,Αύγουστος,August,agosto,Srpen,Agosto,Sierpień,Août
september,September,Сентябрь,September,Tháng Chín,setembro,Σεπτέμβριος,September,septiembre,Září,Settembre,Wrzesień,Septembre
october,October,Октябрь,Oktober,Tháng Mười,Outubro,Οκτώβριος,Oktober,octubre,Říjen,Ottobre,Październik,Octobre
november,November,Ноябрь,November,tháng mười một,novembro,Νοέμβριος,November,noviembre,Listopad,Novembre,Listopad,Novembre
december,December,Декабрь,Desember,tháng mười hai,dezembro,Δεκέμβριος,Dezember,diciembre,Prosinec,Dicembre,Grudzień,Décembre
sunday,Sunday,Воскресенье,Minggu,chủ nhật,Domigo,Κυριακή,Sonntag,domingo,Neděle,Domenica,Niedziela,Dimanche
monday,Monday,Понедельник,Senin,thứ hai,Segunda-feira,Δευτέρα,Montag,lunes,Pondělí,Lunedì,Poniedziałek,Lundi
tuesday,Tuesday,Вторник,Selasa,thứ ba,terça,Τρίτη,Dienstag,martes,Úterý,Martedì,Wtorek,Mardi
wednesday,Wednesday,Среда,Rabu,Thứ tư,quarta-feira,Τετάρτη,Mittwoch,miércoles,Středa,Mercoledì,Środa,Mercredi
thursday,Thursday,Четверг,Kamis,Thứ năm,quinta-feira,Πέμπτη,Donnerstag,jueves,Čtvrtek,Giovedì,Czwartek,Jeudi
friday,Friday,Пятница,Jumat,Thứ sáu,Sexta-feira,Παρασκευή,Freitag,viernes,Pátek,Venerdì,Piątek,Vendredi
saturday,Saturday,Суббота,Sabtu,ngày thứ bảy,sábado,Σάββατο,Samstag,sábado,Sobota,Sabato,Sobota,Samedi
daily,Daily,Ежедневно,Harian,hằng ngày,Diariamente,Καθημερινά,Täglich,Diario,Denně,Giornalmente,Codziennie,Chaque jour
weekly,Weekly,Еженедельно,Mingguan,hàng tuần,Semanal,Εβδομαδιαίος,Wöchentlich,Semanal,Týdně,Settimanalmente,Co tydzień,Chaque semaine
monthly,Monthly,Ежемесячно,Bulanan,hằng tháng,Por mês,Μηνιαίο,Monatlich,Mensual,Měsíčně,Mensilmente,Co miesiąc,Chaque mois
re_enable,Do you want to re-enable notification access?,Вы хотите повторно включить доступ к уведомлениям?,Apakah Anda ingin mengaktifkan kembali akses pemberitahuan?,Bạn có muốn kích hoạt lại truy cập thông báo?,Você quer reativar o acesso a notificação?,Θέλετε να ενεργοποιήσετε ξανά την πρόσβαση κοινοποίηση;,Möchten Sie Benachrichtigung Zugriff wieder aktivieren?,¿Quieres volver a habilitar el acceso notificación?,Chcete znovu povolit přístup k oznámením?,Vuoi riattivare l'accesso alle notifiche?,Czy chcesz ponownie włączyć dostęp do powiadomień?,Voulez-vous autoriser de nouveau l'accès aux notifications?
copied,Copied to clipboard,Скопировано в буфер обмена,Disalin ke clipboard,Sao chép vào clipboard,Copiado para a área de transferência,Αντιγράφηκε στο πρόχειρο,In die Zwischenablage kopiert,Copiado al portapapeles,Zkopírovat do schránky,Copiato nella clipboard,Skopiowane do schowka,Copié dans le clipboard
watch_info,Watch Info,Информация о часах,Tonton Info,Xem thông tin,Assista Informações,Πληροφορίες ρολόι,Uhr-Info,Información del reloj,Info o hodinkách,Informazioni Orologio,Informacja o zegarku,Information sur la montre
version,Version,Версия,Versi: kapan,Phiên bản,Versão,Εκδοχή,Ausführung,Versión,Verze,Versione,Wersja,Version
type,Type,Тип,Tipe,Kiểu,Tipo,Τύπος,Art,Tipo,Typ,Tipo,Typ,Type
copy_id,Copy ID,Копировать ID,Copy ID,sao chép ID,cópia ID,Αντιγραφή ID,Copy-ID,copia ID,ID kopie,ID Copia,ID Kopii,Copy ID
convert_greek,Convert Greek font,Преобразовать греческий шрифт,Mengkonversi huruf Yunani,Chuyển đổi font chữ Hy Lạp,Converter fonte grega,Μετατροπή ελληνικών γραμματοσειρών,Konvertieren griechische Schrift,Convertir fuente griega,Převést řecké písmo,Convertire i caratteri Greci,Konwertuj greckie znaki,Convertir les caractères grecs
no_data,No Data,Нет данных,Tidak ada data,Không có dữ liệu,No Data,Χωρίς δεδομένα,Keine Daten,Sin datos,Žádná data,Nessun Dato,Brak danych,Aucune donnée
today,Today,Cегодня,Hari ini,Hôm nay,Hoje,Σήμερα,Heute,Hoy,Dnes,Oggi,Dzisiaj,Aujourd'hui
steps_history,Steps History,Статистика шагов,langkah Sejarah,bước Lịch sử,passos História,Βήματα Ιστορία,Laufübersicht,pasos Historia,Historie kroků,Storico Passi,Liczba kroków,Historique des pas
sleep_history,Sleep History,Статистика сна,Sejarah Sleep,Lịch sử ngủ,História do sono,Ιστορία του ύπνου,Schlafverlauf,Historia del sueño,Historie spánku,Storico Sonno,Czas snu,Historique du sommeil
deep_sleep,Deep,Глубокий,Dalam,Sâu,profundo,Βαθύς,Tief,Profundo,Hluboký spánek,Profondo,Głęboki,Profond
light_sleep,Light,Легкий,Cahaya,Ánh sáng,Leve,Φως,Leicht,Ligero,Lehký spánek,Luce,Płytki,Léger
total_sleep,Total,Всего,Total,Toàn bộ,Total,Σύνολο,Gesamt,Total,Celkový spánek,Totale,Razem,Total
flip_disp,Flip Display,Зеркальный экран,Flip Tampilan,lật Display,aleta exibição,Flip Οθόνη,Flip-Anzeige,Pantalla flip,Výklopný displej,Inverti Schermo,Obróć ekran,Basculer l'affichage
rotate_disp,Rotate Display,Поворот дисплея,Tampilan Putar,Hiển thị Xoay,Exibição Rotate,Περιστροφή οθόνης,Drehen Anzeige,Rotación de la visualización,Otočný displeje,Ruota Schermo,Przywróc bez obrotu,Rotation de l'affichage
screen_off,Turn off screen,Выключите экран,Mematikan layar,Tắt màn hình,Desligar o ecrã,Απενεργοποίηση της οθόνης,Schalten Sie Bildschirm,Apagar la pantalla,Vypnout obrazovku,Speghi schermo,Wyłącz ekran,Eteindre l'écran
timeout,Notification Timeout,Тайм-аут Уведомление ,Pemberitahuan Timeout,thông báo Timeout,Timeout notificação,Χρονικό όριο κοινοποίησης,Benachrichtigungs-Zeitüberschreitung,Tiempo de espera de la notificación,Časový limit oznámení,Timeout notifiche,Czas wygasania powiadomień,Timeout de notification
ignore_optimize,Ignore Optimization,Игнорировать оптимизацию,Abaikan Optimasi,Bỏ qua Optimization,ignorar Otimização,Αγνοήστε Βελτιστοποίηση,ignorieren Optimierung,No haga caso de la optimización,Ignorovat optimalizaci,Ignora Ottimizzazioni,Ignoruj Optymalizacje,Ignorer les optimisations
request_optimize,Request to ignore battery optimizations,Запрос расхода батареи,Meminta untuk mengabaikan pengoptimalan baterai,Yêu cầu để bỏ qua tối ưu hóa pin,Solicitar a ignorar as otimizações de bateria,Ζητήστε να αγνοήσει τις βελτιστοποιήσεις μπαταρίας,Anfrage an Batterie-Optimierungen zu ignorieren,Solicitar a ignorar optimizaciones de la batería,Žádost o ignorování optimalizace baterie,Richiesta di ignorare le ottimizzazioni,Ignoruj optymalizacje uzycia baterii,Demande pour ignorer les optimisations de batterie
never_ask,Never ask,Никогда не спрашивать,Jangan pernah meminta,không bao giờ hỏi,Nunca pergunte,ποτέ μην ρωτήσω,Frag nie,Nunca preguntes,Nikdy se neptej,Non chiedere mai,Nie pytaj,Ne jamais demander
theme,Theme,Тема,Tema,chủ đề,Tema,Θέμα,Thema,Tema,Téma,Tema,Temat,Thème
accent,Accent,Акцент,Aksen,giọng,Sotaque,Προφορά,Akzent,Acento,Schéma,Tono,Kolor aplikacji,Accent
choose_theme,Choose your preferred accent color and theme,Выберите нужный цвет акцента и темы,Pilih warna aksen Anda dan tema,Chọn màu nhấn ưa thích của bạn và chủ đề,Escolha a sua cor de destaque preferido e tema,Επιλέξτε το προτιμώμενο χρώμα προφορά και το θέμα σας,Wählen Sie Ihre bevorzugte Akzentfarbe und Thema,Elija su color preferido acento y el tema,Vyberte preferovanou barvu a motiv zvýraznění,Scegli il tono di colore ed il tema preferiti,Wybierz swój kolor aplikacji i tła,Choisir le thème de l'application
clear_data,Clear Data,Очистить данные,Hapus data,Xóa dữ liệu,Apagar os dados,Καθαρισμός δεδομένων,Daten löschen,Borrar datos,Vyčistit data,Cancella Dati,Wyczyść dane,Effacer les données
clear_data_info,This will remove all error log data. Are you sure?,Это удалит все данные журнала ошибок. Ты уверен?,Ini akan menghapus semua data log kesalahan. Apakah kamu yakin?,Điều này sẽ xóa tất cả dữ liệu nhật ký lỗi. Bạn có chắc không?,Isso removerá todos os dados de log de erros. Tem certeza?,Αυτό θα καταργήσει όλα τα δεδομένα καταγραφής σφαλμάτων. Είσαι σίγουρος?,Dadurch werden alle Fehlerprotokolldaten entfernt. Bist du sicher?,Esto eliminará todos los datos de registro de errores. ¿Está seguro?,Tím odstraníte všechna data protokolu chyb. Jste si jisti?,Questa operazione cancellerà tutti i log di errore. Sei sicuro?,Spowoduje to usunięcie wszystkich danych dziennika błędów. Jesteś pewny?,Cela va effacer le journal d'erreurs. Confirmez-vous?
sleep_txt,Sleep,Сон,Tidur,Ngủ,Dormir,Υπνος,Schlaf,Dormir,Spát,Sonno,Sen,Sommeil
not_rooted,Device not rooted,Устройство не рутировано,Perangkat tidak berakar,Thiết bị không bắt nguồn từ,Dispositivo não enraizada,Η συσκευή δεν ριζωμένη,Gerät nicht gerootet,El dispositivo no arraigada,Zařízení není kořeny,Il dispositivo non ha i privilegi di root,Urządzenie bez root'a,Appareil non rooté
dnd_mode,Do not Disturb mode,Режим Не беспокоить,Melakukan modus tidak Ganggu,Do chế độ không làm phiền,Fazer de modo não perturbe,Μην ενοχλείτε λειτουργία,Nicht stören-Modus,El modo No Molestar,Režim nerušit,Modalità Non Disturbare,Tryb nie przeskadzać,"Mode ""ne pas déranger"""
dnd_text,Do not disturb,Не беспокойте,Jangan ganggu,Đừng làm phiền,Não perturbe,Μην ενοχλείτε,Nicht stören,No molestar,Nerušit,Non disturbare,Nie przeszkadzać,Ne pas déranger
ext_camera,Ext. Camera,Ext. камера,Ext. Kamera,Ext. Máy ảnh,Ext. Câmera,Εσωτ. ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ,Ext. Kamera,Ext. Cámara,Ext. Fotoaparát,Macchina fotografica Est.,Zew. Kamera,Appareil photo externe
screen_on,Screen On,Экран включен,layar Pada,Screen On,Tela ligada,οθόνη On,Bildschirm An,Pantalla en,Obrazovka On,Schermo acceso,Ekran Wł,Ecran allumé
unlocked,Unlocked,Разблокирован,unlocked,mở khóa,desbloqueado,Ακλείδωτος,entsperrt,desbloqueado,Odemčený,Sbloccato,Odblokowany,Déverrouilé
call,Call,Вызов,Panggilan,Gọi,Ligar,Κλήση,Anruf,Llamada,Volání,Chiama,Zadzwoń,Appel
sms,SMS,SMS,SMS,tin nhắn,SMS,γραπτό μήνυμα,SMS,SMS,SMS,SMS,SMS,SMS
set_screen_lock,Set a screen lock first,Установить блокировку экрана первой,Mengatur kunci layar pertama,Đặt khóa màn hình đầu tiên,Definir um bloqueio de tela primeiro,Ορίστε ένα κλείδωμα οθόνης πρώτο,Stellen Sie eine Bildschirmsperre zuerst,Establecer un bloqueo de pantalla primero,Nastavit zámek obrazovky nejprve,Imposta prima il blocco schermo,Najpierw ustaw blokadę ekranu,Définir un verrouillage d'écran en premier
dnd_charge,Watch Charging,Смотреть зарядку,Tonton pengisian,Đồng hồ sạc,Assistir carregando,Παρακολουθήστε φόρτιση,Aufladung ansehen,Cargar,Sledujte nabíjení,Guarda la ricarica,Oglądaj ładowanie,Montre en charge
measure_all,Measure All,Мера все,Ukur semua,Đo lường tất cả,Medir tudo,Μέτρηση όλων,Messen Sie alles,Medir todo,Změřte vše.,Misura tutto,Działać na wszystkich,Mesurer tout
